swadesh.language,swadesh.english,HScollapsed,poabodypartmerge,swadesh.twohands,swadesh.pmv
Czech,sea,y4,Hand,false,Z_front
Czech,sharp,y1,Lateral,true,X_right
Czech,short,n1,Lateral,true,X_left
Czech,singing,y1,Vertical,true,Z_back
Czech,sister,y1,Head,false,Z_back
Czech,sit,y4,Horizontal,true,Y_down
Czech,smooth,y4,Hand,false,Z_front
Czech,snake,n2,Horizontal,false,X_left
Czech,snow,y0,Lateral,true,UNDEF
Czech,stand,y1,Lateral,true,X_right
Czech,stone,y0,Lateral,true,X_left
Czech,string,y1,Lateral,true,X_right
Czech,sun,n1,Head,false,X_left
Czech,tail,n1,Vertical,false,UNDEF
Czech,thin,y1,Lateral,true,X_right
Czech,tree,y4,Hand,false,UNDEF
Czech,vomit,y4,Head,false,Y_down
Czech,warm,y4,Head,false,Y_down
Czech,water,y4,Head,false,X_right
Czech,wet,y4,Horizontal,true,Y_down
Czech,what,y1,Lateral,false,X_left
Czech,when,y1,Hand,false,UNDEF
Czech,where,y4,Horizontal,true,X_left
Czech,white,y0,Hand,false,UNDEF
Czech,who,y1,Vertical,false,X_left
Czech,wide,y4,Lateral,true,X_right
Czech,wife,y4,Horizontal,true,Y_down
Czech,wind,n2,Vertical,false,Y_up
Czech,with,y1,Hand,false,X_left
Czech,woman,y1,Head,false,Y_down
Czech,wood,n4,Hand,false,Y_down
Czech,work,y4,Head,false,UNDEF
Czech,worm,n1,Horizontal,false,X_left
Czech,year,y0,Hand,false,Y_down
Czech,yellow,y1,Head,false,Z_front
Spanish,all,y4,Hand,false,X_left
Spanish,animal,y4,Lateral,true,Y_down
Spanish,bad,n4,Vertical,false,Z_front
Spanish,because,y4,Head,false,Z_front
Spanish,bird,y1,Head,false,UNDEF
Spanish,black,n2,Hand,false,Z_front
Spanish,blood,n2,Arm,false,Y_down
Spanish,boring,y4,Head,false,Y_down
Spanish,brother,n2,Horizontal,false,UNDEF
Spanish,bug,y4,Horizontal,false,Z_front
Spanish,cat,n4,Hand,false,Z_back
Spanish,child,y0,Head,false,UNDEF
Spanish,correct,y1,Horizontal,false,X_right
Spanish,count,y4,Horizontal,true,Y_down
Spanish,dance,y4,Torso,false,Z_back
Spanish,day,y1,Head,false,Z_back
Spanish,die,n4,Horizontal,false,UNDEF
Spanish,dirty,n4,Head,false,Z_front
Spanish,dog,y4,Head,false,Y_down
Spanish,dry,y4,Horizontal,true,Y_down
Spanish,earth,y4,Lateral,true,Y_down
Spanish,egg,y4,Lateral,true,UNDEF
Spanish,father,n4,Head,false,Y_down
Spanish,fire,y4,Horizontal,true,Y_up
Spanish,fish,n2,Horizontal,false,X_left
Spanish,flower,y4,Head,false,Z_front
Spanish,full,y0,Hand,false,Y_up
Spanish,good,y4,Head,false,Y_down
Spanish,grass,n2,Head,false,Y_up
Spanish,grease,y4,Hand,false,Z_back
Spanish,green,n2,Hand,false,UNDEF
Spanish,heavy,y4,Horizontal,true,Y_down
Spanish,how,y1,Head,false,UNDEF
Spanish,husband,n1,Hand,false,Y_down
Spanish,ice,y4,Head,false,Z_front
Spanish,if,n4,Head,false,UNDEF
Spanish,kill,n0,Vertical,false,Z_front
Spanish,laugh,y1,Hand,false,Z_front
Spanish,leaf,y4,Hand,false,UNDEF
Spanish,lie,n1,Head,false,UNDEF
Spanish,live,y4,Hand,true,UNDEF
Spanish,long,y4,Lateral,true,X_right
Spanish,look_for,n2,Vertical,true,Y_down
Spanish,man,y0,Head,false,UNDEF
Spanish,meat,y4,Hand,false,Y_down
Spanish,moon,y4,Head,false,Z_back
Spanish,mother,n4,Head,false,X_right
Spanish,mountain,y4,Horizontal,true,X_right
